en-US=abacus	zh=算盘
zh=梦见	en-US=dream
zh=梦魇	en-US=incubus
zh=梯子	en-US=ladder
zh=棒球	en-US=baseball
zh=椅子	en-US=chair
zh=椰子	en-US=coconut
zh=楼上	en-US=upstairs
zh=模特	en-US=mannequin
zh=橱柜	en-US=cupboard
zh=欧元	en-US=euro
zh=欲望	en-US=desire
zh=歌手	en-US=singer
zh=正方形	en-US=square
zh=比基尼	en-US=bikini
zh=毯子	en-US=blanket
zh=民主	en-US=democracy
zh=气候	en-US=climate
zh=水库	en-US=reservoir
zh=水族馆	en-US=aquarium
zh=水泡	en-US=blister
zh=汇报	en-US=report
zh=池塘	en-US=pond
zh=汽油	en-US=gasoline
zh=活塞	en-US=piston
zh=浇水	en-US=water
zh=海军	en-US=navy
zh=海洋	en-US=ocean
zh=海豚	en-US=dolphin
zh=海边	en-US=seaside
zh=涂抹	en-US=smear
zh=消费者	en-US=consumer
zh=消除	en-US=remove
zh=液体	en-US=liquid
zh=温度	en-US=temperature
zh=温柔	en-US=tender
zh=游乐园	en-US=playground
zh=湖泊	en-US=lake
zh=湖畔	en-US=lakeside
zh=湖边	en-US=lakeside
zh=湿地	en-US=wetland
zh=火炉	en-US=stove
zh=火箭	en-US=rocket
zh=灾民	en-US=refugee
zh=烟叶	en-US=tobacco
zh=烟草	en-US=tobacco
zh=烤炉	en-US=oven
zh=焦点	en-US=focus
zh=燃料	en-US=fuel
zh=爆米花	en-US=popcorn
zh=爱国者	en-US=patriot
zh=牙医	en-US=dentist
zh=牙膏	en-US=toothpaste
zh=牛仔	en-US=cowboy
zh=牛肉	en-US=beef
zh=猎人	en-US=hunter
zh=猛兽	en-US=predator
zh=猪肉	en-US=pork
zh=猴子	en-US=monkey
zh=玉石	en-US=jade
zh=王国	en-US=kingdom
zh=王妃	en-US=princess
zh=王子	en-US=prince
zh=班车	en-US=shuttle
zh=琥珀	en-US=amber
zh=瓣膜	en-US=valve
zh=瓶颈	en-US=bottleneck
zh=生日	en-US=birthday
zh=生涯	en-US=career
zh=甲醛	en-US=formaldehyde
zh=电子琴	en-US=keyboard
zh=电工	en-US=electrician
zh=电极	en-US=electrode
zh=电梯	en-US=lift
zh=电路	en-US=circuit
zh=番茄	en-US=tomato
zh=疗法	en-US=therapy
zh=疱疹	en-US=herpes
zh=病人	en-US=inmate
zh=病毒	en-US=virus
zh=症状	en-US=symptom
zh=癌症	en-US=cancer
zh=白内障	en-US=cataract
zh=百万富翁	en-US=millionaire
zh=皮夹	en-US=wallet
zh=皮革	en-US=leather
zh=直升机	en-US=helicopter
zh=眉毛	en-US=eyebrow
zh=睫毛	en-US=eyelash
zh=矢量	en-US=vector
zh=矩阵	en-US=matrix
zh=石墨	en-US=graphite
zh=石棉	en-US=asbestos
zh=矿山	en-US=mine
zh=硬件	en-US=hardware
zh=离合器	en-US=clutch
zh=离婚	en-US=divorce
zh=私立	en-US=private
zh=科技	en-US=technology
zh=秒钟	en-US=second
zh=积压	en-US=backlog
zh=稻田	en-US=paddy
zh=稻草	en-US=straw
zh=突破	en-US=breakthrough
zh=竹子	en-US=bamboo
zh=笑容	en-US=smile
zh=等离子体	en-US=plasma
zh=筹码	en-US=chip
zh=签证	en-US=visa
zh=简易	en-US=simple
zh=管道	en-US=pipeline
zh=篮子	en-US=basket
zh=篮球	en-US=basketball
zh=类别	en-US=category
zh=粒子	en-US=particle
zh=精英	en-US=elite
zh=索引	en-US=index
zh=索赔	en-US=claim
zh=纪律	en-US=discipline
zh=纳税人	en-US=taxpayer
zh=线路	en-US=circuit
zh=经济	en-US=economy
zh=维生素	en-US=vitamin
zh=绵羊	en-US=sheep
zh=缔造	en-US=create
zh=编辑部	en-US=newsroom
zh=羊毛衫	en-US=cardigan
zh=羚羊	en-US=antelope
zh=职场	en-US=workplace
zh=聚酯	en-US=polyester
zh=肝脏	en-US=liver
zh=股东	en-US=shareholder
zh=肩膀	en-US=shoulder
zh=肺脏	en-US=lung
zh=胆固醇	en-US=cholesterol
zh=胰岛素	en-US=insulin
zh=脉搏	en-US=pulse
zh=自助餐	en-US=buffet
zh=臭氧	en-US=ozone
zh=舞蹈	en-US=dance
zh=航班	en-US=flight
zh=航空公司	en-US=airline
zh=航空器	en-US=aircraft
zh=艰难	en-US=difficult
zh=艺术家	en-US=artist
zh=芒果	en-US=mango
zh=芝麻	en-US=sesame
zh=花瓶	en-US=vase
zh=范畴	en-US=category
zh=药店	en-US=pharmacy
zh=菠菜	en-US=spinach
zh=葵花	en-US=sunflower
zh=蓝宝石	en-US=sapphire
zh=蚊子	en-US=mosquito
zh=蛋白质	en-US=protein
zh=蛋糕	en-US=cake
zh=蜘蛛	en-US=spider
zh=蟋蟀	en-US=cricket
zh=血浆	en-US=plasma
zh=血液	en-US=bloodstream
zh=行人	en-US=pedestrian
zh=行者	en-US=pedestrian
zh=袖子	en-US=sleeve
zh=被告	en-US=defendant
zh=裙子	en-US=skirt
zh=西北	en-US=northwest
zh=西南	en-US=southwest
zh=西瓜	en-US=watermelon
zh=西红柿	en-US=tomato
zh=观念	en-US=concept
zh=视频	en-US=video
zh=警惕	en-US=alert
zh=警方	en-US=police
zh=讲座	en-US=seminar
zh=论证	en-US=demonstrate
zh=设定	en-US=configure
zh=试图	en-US=attempt
zh=课堂	en-US=classroom
zh=调查者	en-US=investigator
zh=账户	en-US=account
zh=购买	en-US=purchase
zh=跳马	en-US=vault
zh=车祸	en-US=accident
zh=车辆	en-US=vehicle
zh=转子	en-US=rotor
zh=轮椅	en-US=wheelchair
zh=软件	en-US=software
zh=软体	en-US=software
zh=过程	en-US=process
zh=运载火箭	en-US=booster
zh=进步	en-US=progress
zh=避难	en-US=refuge
zh=避风港	en-US=haven
zh=郁金香	en-US=tulip
zh=部长	en-US=minister
zh=金融	en-US=finance
zh=铁路	en-US=railway
zh=铁道	en-US=railway
zh=银色	en-US=silver
zh=键盘	en-US=keyboard
zh=镜子	en-US=mirror
zh=长度	en-US=length
zh=长椅	en-US=bench
zh=门将	en-US=goalkeeper
zh=阀门	en-US=valve
zh=阴沟	en-US=sewer
zh=阶段	en-US=stage
zh=附录	en-US=appendix
zh=雇员	en-US=employee
zh=雨伞	en-US=umbrella
zh=雪茄	en-US=cigar
zh=雷达	en-US=radar
zh=霓虹	en-US=neon
zh=面包车	en-US=minibus
zh=音频	en-US=audio
zh=预报	en-US=forecast
zh=预期	en-US=expect
zh=预算	en-US=budget
zh=风暴	en-US=storm
zh=香肠	en-US=sausage
zh=香蕉	en-US=banana
zh=马戏团	en-US=circus
zh=骆驼	en-US=camel
zh=高于	en-US=above
zh=鱿鱼	en-US=squid
zh=鲨鱼	en-US=shark
zh=鸡尾酒	en-US=cocktail
zh=鸡肉	en-US=chicken
zh=黄瓜	en-US=cucumber
zh=黄色	en-US=yellow
zh=黄蜂	en-US=wasp
zh=默认	en-US=default
zh=龙虾	en-US=lobster
en-US=12	en-US=twelve,12
en-US=13	en-US=thirteen,13
en-US=14	en-US=fourteen,14
en-US=15	en-US=fifteen,15
en-US=16	en-US=sixteen,16
en-US=17	en-US=seventeen,17
en-US=18	en-US=eighteen,18
en-US=19	en-US=nineteen,19
en-US=20	en-US=twenty,20
en-US=30	en-US=thirty,30
en-US=3	en-US=three,3
en-US=60	en-US=sixty,60
en-US=70	en-US=seventy,70
en-US=7	en-US=seven,7
en-US=80	en-US=eighty,80
en-US=90	en-US=ninety,90
en-US=9	en-US=nine,9
en-US=abacus	en-US=abacus
en-US=abdomen	en-US=abdomen
en-US=above	en-US=above
en-US=absent	en-US=absent
en-US=abstract	en-US=abstract
en-US=abundance	en-US=abundance
en-US=academician	en-US=academician
en-US=academy	en-US=academy
en-US=accident	en-US=accident
en-US=account	en-US=account
en-US=accumulate	en-US=accumulate
en-US=accuracy	en-US=accuracy
en-US=acquire	en-US=acquire
en-US=activate	en-US=activate
en-US=actress	en-US=actress
en-US=address	en-US=address
en-US=adenosine	en-US=adenosine
en-US=adoptee	en-US=adoptee
en-US=adopt	en-US=adopt
en-US=adult	en-US=adult
en-US=advance	en-US=advance
en-US=advantage	en-US=advantage
en-US=adventure	en-US=adventure
en-US=adversary	en-US=adversary
en-US=advertise	en-US=advertise
en-US=advice	en-US=advice
en-US=afraid	en-US=afraid
en-US=afternoon	en-US=afternoon
en-US=agenda	en-US=agenda
en-US=agrarian	en-US=agrarian
en-US=agriculture	en-US=agriculture
en-US=airborne	en-US=airborne
en-US=aircraft	en-US=aircraft
en-US=airline	en-US=airline
en-US=airport	en-US=airport
en-US=album	en-US=album
en-US=alcohol	en-US=alcohol
en-US=alert	en-US=alert
en-US=allergy	en-US=allergy
en-US=alliance	en-US=alliance
en-US=aluminum	en-US=aluminium,aluminum
en-US=ambassador	en-US=ambassador
en-US=amber	en-US=amber
en-US=ambulance	en-US=ambulance
en-US=amen	en-US=amen
en-US=amnesty	en-US=amnesty
en-US=analysis	en-US=analysis
en-US=analyze	en-US=analyze
en-US=anatomy	en-US=anatomy
en-US=anecdote	en-US=anecdote
en-US=anniversary	en-US=anniversary
en-US=announcer	en-US=announcer
en-US=antelope	en-US=antelope
en-US=antenna	en-US=antenna
en-US=anthem	en-US=anthem
en-US=anthology	en-US=anthology
en-US=anthropology	en-US=anthropology
en-US=antiterrorist	en-US=antiterrorist
en-US=anyone	en-US=anyone
en-US=aperture	en-US=aperture
en-US=appendix	en-US=appendix
en-US=appliance	en-US=appliance
en-US=apron	en-US=apron
en-US=aquarium	en-US=aquarium
en-US=archbishop	en-US=archbishop
en-US=archer	en-US=archer
en-US=archipelago	en-US=archipelago
en-US=architect	en-US=architect
en-US=architecture	en-US=architecture
en-US=armrest	en-US=armrest
en-US=artery	en-US=artery
en-US=artillery	en-US=artillery
en-US=artist	en-US=artist
en-US=asbestos	en-US=asbestos
en-US=asleep	en-US=asleep
en-US=asparagus	en-US=asparagus
en-US=assistant	en-US=assistant
en-US=asthma	en-US=asthma
en-US=astronomer	en-US=astronomer
en-US=athlete	en-US=athlete
en-US=atom	en-US=atom
en-US=atrium	en-US=atrium
en-US=attempt	en-US=attempt
en-US=audio	en-US=audio
en-US=aurora	en-US=aurora
en-US=auteur	en-US=auteur
en-US=autonomy	en-US=autonomy
en-US=avatar	en-US=avatar
en-US=average	en-US=average
en-US=avoid	en-US=avoid
en-US=backboard	en-US=backboard
en-US=background	en-US=background
en-US=backlog	en-US=backlog
en-US=backup	en-US=backup
en-US=backyard	en-US=backyard
en-US=bacteria	en-US=bacteria
en-US=balcony	en-US=balcony
en-US=ballet	en-US=ballet
en-US=bamboo	en-US=bamboo
en-US=banana	en-US=banana
en-US=banker	en-US=banker
en-US=baptist	en-US=baptist
en-US=barbershop	en-US=barbershop
en-US=barley	en-US=barley
en-US=baseball	en-US=baseball
en-US=baseline	en-US=baseline
en-US=basketball	en-US=basketball
en-US=basket	en-US=basket
en-US=bassinet	en-US=bassinet
en-US=bathroom	en-US=bathroom
en-US=bedroom	en-US=bedroom
en-US=bedstead	en-US=bedstead
en-US=beef	en-US=beef
en-US=belief	en-US=belief
en-US=believe	en-US=believe
en-US=bellboy	en-US=bellboy
en-US=bench	en-US=bench
en-US=bicycle	en-US=bicycle
en-US=bikini	en-US=bikini
en-US=billboard	en-US=billboard
en-US=bimbo	en-US=bimbo
en-US=biology	en-US=biology
en-US=birdcage	en-US=birdcage
en-US=birthday	en-US=birthday
en-US=biscuit	en-US=biscuit
en-US=bishop	en-US=bishop
en-US=blackberry	en-US=blackberry
en-US=blackboard	en-US=blackboard
en-US=blacksmith	en-US=blacksmith
en-US=blade	en-US=blade
en-US=blanket	en-US=blanket
en-US=blister	en-US=blister
en-US=bloodstream	en-US=bloodstream
en-US=boffin	en-US=boffin
en-US=bookmark	en-US=bookmark
en-US=booster	en-US=booster
en-US=boredom	en-US=boredom
en-US=bottleneck	en-US=bottleneck
en-US=bourgeois	en-US=bourgeois
en-US=bourgeoisie	en-US=bourgeoisie
en-US=bracelet	en-US=bracelet
en-US=brain	en-US=brain
en-US=breakfast	en-US=breakfast
en-US=breakthrough	en-US=breakthrough
en-US=breathe	en-US=breathe
en-US=brigade	en-US=brigade
en-US=broth	en-US=broth
en-US=budget	en-US=budget
en-US=buffet	en-US=buffet
en-US=bugle	en-US=bugle
en-US=bulkhead	en-US=bulkhead
en-US=bullet	en-US=bullet
en-US=bulletin	en-US=bulletin
en-US=bungalow	en-US=bungalow
en-US=butter	en-US=butter
en-US=cabinet	en-US=cabinet
en-US=cactus	en-US=cactus
en-US=caffeine	en-US=caffeine
en-US=cake	en-US=cake
en-US=calcium	en-US=calcium
en-US=camel	en-US=camel
en-US=campaign	en-US=campaign
en-US=campus	en-US=campus
en-US=canary	en-US=canary
en-US=cancer	en-US=cancer
en-US=candidacy	en-US=candidacy
en-US=candidate	en-US=candidate
en-US=capacitor	en-US=capacitor
en-US=capitalist	en-US=capitalist
en-US=capture	en-US=capture
en-US=cardboard	en-US=cardboard
en-US=card	en-US=card
en-US=cardigan	en-US=cardigan
en-US=career	en-US=career
en-US=caribou	en-US=caribou
en-US=carpet	en-US=carpet
en-US=carton	en-US=carton
en-US=casualty	en-US=casualty
en-US=catalog	en-US=catalogue,catalog
en-US=catalyst	en-US=catalyst
en-US=cataract	en-US=cataract
en-US=catastrophe	en-US=catastrophe
en-US=category	en-US=category
en-US=cavalryman	en-US=cavalryman
en-US=cave	en-US=cave
en-US=celery	en-US=celery
en-US=cellulose	en-US=cellulose
en-US=census	en-US=census
en-US=centaur	en-US=centaur
en-US=century	en-US=century
en-US=cerebrum	en-US=cerebrum
en-US=ceremony	en-US=ceremony
en-US=certain	en-US=certain
en-US=certificate	en-US=certificate
en-US=chair	en-US=chair
en-US=chairman	en-US=chairman
en-US=chancellor	en-US=chancellor
en-US=chandelier	en-US=chandelier
en-US=chaos	en-US=chaos
en-US=chaperone	en-US=chaperone
en-US=chapter	en-US=chapter
en-US=chart	en-US=chart
en-US=check	en-US=cheque,check
en-US=chemistry	en-US=chemistry
en-US=cheque	en-US=cheque,check
en-US=chicken	en-US=chicken
en-US=childhood	en-US=childhood
en-US=childish	en-US=childish
en-US=chip	en-US=chip
en-US=chocolate	en-US=chocolate
en-US=choir	en-US=choir
en-US=cholesterol	en-US=cholesterol
en-US=choline	en-US=choline
en-US=chronicle	en-US=chronicle
en-US=church	en-US=church
en-US=cigar	en-US=cigar
en-US=cigarette	en-US=cigarette
en-US=cinnamon	en-US=cinnamon
en-US=circuit	en-US=circuit
en-US=circus	en-US=circus
en-US=citizen	en-US=citizen
en-US=civil	en-US=civil
en-US=claim	en-US=claim
en-US=classroom	en-US=classroom
en-US=cleanup	en-US=cleanup
en-US=clergy	en-US=clergy
en-US=climate	en-US=climate
en-US=cloister	en-US=cloister
en-US=cloudy	en-US=cloudy
en-US=clutch	en-US=clutch
en-US=cocaine	en-US=cocaine
en-US=cockatiel	en-US=cockatiel
en-US=cocktail	en-US=cocktail
en-US=coconut	en-US=coconut
en-US=cohabit	en-US=cohabit
en-US=collaborate	en-US=collaborate
en-US=collector	en-US=collector
en-US=colony	en-US=colony
en-US=coma	en-US=coma
en-US=comedy	en-US=comedy
en-US=commando	en-US=commando
en-US=commerce	en-US=commerce
en-US=commonwealth	en-US=commonwealth
en-US=communicate	en-US=communicate
en-US=communist	en-US=communist
en-US=comparison	en-US=comparison
en-US=compass	en-US=compass
en-US=compatible	en-US=compatible
en-US=compatriot	en-US=compatriot
en-US=compete	en-US=compete
en-US=competitor	en-US=competitor
en-US=composer	en-US=composer
en-US=compound	en-US=compound
en-US=comprehensible	en-US=comprehensible
en-US=concept	en-US=concept
en-US=concert	en-US=concert
en-US=concerto	en-US=concerto
en-US=confident	en-US=confident
en-US=configure	en-US=configure
en-US=conflict	en-US=conflict
en-US=connect	en-US=connect
en-US=conquer	en-US=conquer
en-US=conquest	en-US=conquest
en-US=consensus	en-US=consensus
en-US=considerate	en-US=considerate
en-US=consortium	en-US=consortium
en-US=conspiracy	en-US=conspiracy
en-US=constituent	en-US=constituent
en-US=consultant	en-US=consultant
en-US=consumer	en-US=consumer
en-US=contact	en-US=contact
en-US=contain	en-US=contain
en-US=contemplate	en-US=contemplate
en-US=contents	en-US=contents
en-US=continent	en-US=continent
en-US=contingent	en-US=contingent
en-US=contribute	en-US=contribute
en-US=controversy	en-US=controversy
en-US=convince	en-US=convince
en-US=coordinate	en-US=coordinate
en-US=corolla	en-US=corolla
en-US=corporate	en-US=corporate
en-US=corpus	en-US=corpus
en-US=corvette	en-US=corvette
en-US=cosmos	en-US=cosmos
en-US=costume	en-US=costume
en-US=countenance	en-US=countenance
en-US=counter	en-US=counter
en-US=counterpart	en-US=counterpart
en-US=county	en-US=county
en-US=coursework	en-US=coursework
en-US=cowboy	en-US=cowboy
en-US=crackdown	en-US=crackdown
en-US=create	en-US=create
en-US=creator	en-US=creator
en-US=cricket	en-US=cricket
en-US=crisis	en-US=crisis
en-US=crowd	en-US=crowd
en-US=cruelty	en-US=cruelty
en-US=crusade	en-US=crusade
en-US=cucumber	en-US=cucumber
en-US=culture	en-US=culture
en-US=cupboard	en-US=cupboard
en-US=curator	en-US=curator
en-US=curtains	en-US=curtains
en-US=curve	en-US=curve
en-US=customs	en-US=customs
en-US=cutlery	en-US=cutlery
en-US=cycle	en-US=cycle
en-US=cyclist	en-US=cyclist
en-US=dance	en-US=dance
en-US=database	en-US=database
en-US=data	en-US=data
en-US=daughter	en-US=daughter
en-US=dead	en-US=dead
en-US=debt	en-US=debt
en-US=decade	en-US=decade
en-US=decide	en-US=decide
en-US=default	en-US=default
en-US=defendant	en-US=defendant
en-US=defend	en-US=defend
en-US=defiance	en-US=defiance
en-US=deficit	en-US=deficit
en-US=delete	en-US=delete
en-US=delta	en-US=delta
en-US=democracy	en-US=democracy
en-US=democrat	en-US=democrat
en-US=demonstrate	en-US=demonstrate
en-US=dentist	en-US=dentist
en-US=dependent	en-US=dependent
en-US=deploy	en-US=deploy
en-US=describe	en-US=describe
en-US=desire	en-US=desire
en-US=desktop	en-US=desktop
en-US=devote	en-US=devote
en-US=diabetes	en-US=diabetes
en-US=diagnose	en-US=diagnose
en-US=diagnosis	en-US=diagnosis
en-US=dialog	en-US=dialog
en-US=diameter	en-US=diameter
en-US=diaper	en-US=diaper
en-US=diary	en-US=diary
en-US=dictator	en-US=dictator
en-US=dictionary	en-US=dictionary
en-US=diesel	en-US=diesel
en-US=diet	en-US=diet
en-US=differentiate	en-US=differentiate
en-US=difficult	en-US=difficult
en-US=dinosaur	en-US=dinosaur
en-US=diode	en-US=diode
en-US=diplomacy	en-US=diplomacy
en-US=diplomat	en-US=diplomat
en-US=directions	en-US=directions
en-US=directory	en-US=directory
en-US=disaster	en-US=disaster
en-US=disciple	en-US=disciple
en-US=discipline	en-US=discipline
en-US=discount	en-US=discount
en-US=dismay	en-US=dismay
en-US=display	en-US=display
en-US=dispute	en-US=dispute
en-US=distance	en-US=distance
en-US=distinguish	en-US=distinguish
en-US=district	en-US=district
en-US=divorce	en-US=divorce
en-US=doctorate	en-US=doctorate
en-US=doctrine	en-US=doctrine
en-US=documentary	en-US=documentary
en-US=dolphin	en-US=dolphin
en-US=domicile	en-US=domicile
en-US=domino	en-US=domino
en-US=doorstep	en-US=doorstep
en-US=dopamine	en-US=dopamine
en-US=dove	en-US=dove
en-US=dozen	en-US=dozen
en-US=drama	en-US=drama
en-US=dream	en-US=dream
en-US=drought	en-US=drought
en-US=duchess	en-US=duchess
en-US=dune	en-US=dune
en-US=dynamo	en-US=dynamo
en-US=eagle	en-US=eagle
en-US=earnings	en-US=earnings
en-US=earthquake	en-US=earthquake
en-US=easy	en-US=easy
en-US=ecology	en-US=ecology
en-US=economist	en-US=economist
en-US=economy	en-US=economy
en-US=ecstasy	en-US=ecstasy
en-US=edit	en-US=edit
en-US=editor	en-US=editor
en-US=efficacy	en-US=efficacy
en-US=eighteen	en-US=eighteen,18
en-US=eighth	en-US=eighth
en-US=eighty	en-US=eighty,80
en-US=electorate	en-US=electorate
en-US=electrician	en-US=electrician
en-US=electrode	en-US=electrode
en-US=elephant	en-US=elephant
en-US=eleven	en-US=eleven
en-US=elite	en-US=elite
en-US=embargo	en-US=embargo
en-US=embassy	en-US=embassy
en-US=embrace	en-US=embrace
en-US=emissary	en-US=emissary
en-US=emperor	en-US=emperor
en-US=empire	en-US=empire
en-US=employee	en-US=employee
en-US=employer	en-US=employer
en-US=enemy	en-US=enemy
en-US=energy	en-US=energy
en-US=engine	en-US=engine
en-US=engineer	en-US=engineer
en-US=english	en-US=english
en-US=enhance	en-US=enhance
en-US=enlarge	en-US=enlarge
en-US=ensign	en-US=ensign
en-US=enter	en-US=enter
en-US=entrepreneur	en-US=entrepreneur
en-US=envelope	en-US=envelope
en-US=epee	en-US=epee
en-US=epinephrine	en-US=epinephrine
en-US=equator	en-US=equator
en-US=equilibrium	en-US=equilibrium
en-US=equivalent	en-US=equivalent
en-US=espionage	en-US=espionage
en-US=essay	en-US=essay
en-US=estate	en-US=estate
en-US=ethylene	en-US=ethylene
en-US=euro	en-US=euro
en-US=evergreen	en-US=evergreen
en-US=everybody	en-US=everybody
en-US=example	en-US=example
en-US=expect	en-US=expect
en-US=explain	en-US=explain
en-US=explore	en-US=explore
en-US=extend	en-US=extend
en-US=eyebrow	en-US=eyebrow
en-US=eyelash	en-US=eyelash
en-US=faculty	en-US=faculty
en-US=fanciful	en-US=fanciful
en-US=fatty	en-US=fatty
en-US=feedback	en-US=feedback
en-US=female	en-US=female
en-US=feminist	en-US=feminist
en-US=fetus	en-US=fetus,foetus
en-US=fifteen	en-US=fifteen,15
en-US=filmmaker	en-US=filmmaker
en-US=finance	en-US=finance
en-US=finger	en-US=finger
en-US=finite	en-US=finite
en-US=firewood	en-US=firewood
en-US=firework	en-US=firework
en-US=fist	en-US=fist
en-US=flamingo	en-US=flamingo
en-US=flashlight	en-US=flashlight
en-US=flavor	en-US=flavor,flavour
en-US=flax	en-US=flax
en-US=fleet	en-US=fleet
en-US=flexible	en-US=flexible
en-US=flight	en-US=flight
en-US=fluid	en-US=fluid
en-US=fluke	en-US=fluke
en-US=focus	en-US=focus
en-US=foetus	en-US=fetus,foetus
en-US=footage	en-US=footage
en-US=footbridge	en-US=footbridge
en-US=forbidden	en-US=forbidden
en-US=forecast	en-US=forecast
en-US=forehead	en-US=forehead
en-US=forestry	en-US=forestry
en-US=forget	en-US=forget
en-US=formaldehyde	en-US=formaldehyde
en-US=former	en-US=former
en-US=formula	en-US=formula
en-US=fortune	en-US=fortune
en-US=forum	en-US=forum
en-US=fountain	en-US=fountain
en-US=fourteen	en-US=fourteen,14
en-US=foxglove	en-US=foxglove
en-US=fracture	en-US=fracture
en-US=framework	en-US=framework
en-US=freedom	en-US=freedom
en-US=freeway	en-US=freeway
en-US=frequent	en-US=frequent
en-US=fuel	en-US=fuel
en-US=fulfill	en-US=fulfill
en-US=furniture	en-US=furniture
en-US=fuselage	en-US=fuselage
en-US=future	en-US=future
en-US=gallery	en-US=gallery
en-US=garage	en-US=garage
en-US=gasoline	en-US=gasoline
en-US=gather	en-US=gather
en-US=gender	en-US=gender
en-US=genius	en-US=genius
en-US=gentleman	en-US=gentleman
en-US=geometry	en-US=geometry
en-US=gesture	en-US=gesture
en-US=giant	en-US=giant
en-US=ginkgo	en-US=ginkgo
en-US=giraffe	en-US=giraffe
en-US=glossy	en-US=glossy
en-US=glove	en-US=glove
en-US=goalkeeper	en-US=goalkeeper
en-US=goat	en-US=goat
en-US=goddess	en-US=goddess
en-US=goldfish	en-US=goldfish
en-US=golf	en-US=golf
en-US=gospel	en-US=gospel
en-US=govern	en-US=govern
en-US=governor	en-US=governor
en-US=grandchild	en-US=grandchild
en-US=grandma	en-US=grandma
en-US=grandmother	en-US=grandmother
en-US=grandson	en-US=grandson
en-US=grandstand	en-US=grandstand
en-US=granny	en-US=granny
en-US=granule	en-US=granule
en-US=grape	en-US=grape
en-US=graphite	en-US=graphite
en-US=greenhouse	en-US=greenhouse
en-US=grouper	en-US=grouper
en-US=grove	en-US=grove
en-US=growth	en-US=growth
en-US=guitar	en-US=guitar
en-US=gunman	en-US=gunman
en-US=gunpowder	en-US=gunpowder
en-US=gymnasium	en-US=gymnasium
en-US=haircut	en-US=haircut
en-US=hamster	en-US=hamster
en-US=handbook	en-US=handbook
en-US=handkerchief	en-US=handkerchief
en-US=handmade	en-US=handmade
en-US=hardware	en-US=hardware
en-US=hardwood	en-US=hardwood
en-US=harem	en-US=harem
en-US=harm	en-US=harm
en-US=harmful	en-US=harmful
en-US=harvest	en-US=harvest
en-US=haven	en-US=haven
en-US=headdress	en-US=headdress
en-US=header	en-US=header
en-US=headphones	en-US=headphones
en-US=headscarf	en-US=headscarf
en-US=health	en-US=health
en-US=hedgehog	en-US=hedgehog
en-US=hegemony	en-US=hegemony
en-US=heirloom	en-US=heirloom
en-US=helicopter	en-US=helicopter
en-US=hemisphere	en-US=hemisphere
en-US=hemoglobin	en-US=hemoglobin
en-US=heritage	en-US=heritage
en-US=herpes	en-US=herpes
en-US=heyday	en-US=heyday
en-US=hickory	en-US=hickory
en-US=hidden	en-US=hidden
en-US=hierarchy	en-US=hierarchy
en-US=historian	en-US=historian
en-US=homage	en-US=homage
en-US=homeowner	en-US=homeowner
en-US=homework	en-US=homework
en-US=honesty	en-US=honesty
en-US=horizon	en-US=horizon
en-US=hormone	en-US=hormone
en-US=horror	en-US=horror
en-US=hostage	en-US=hostage
en-US=hostess	en-US=hostess
en-US=hotel	en-US=hotel
en-US=hotline	en-US=hotline
en-US=household	en-US=household
en-US=hunter	en-US=hunter
en-US=hurricane	en-US=hurricane
en-US=hydrangea	en-US=hydrangea
en-US=hydrogen	en-US=hydrogen
en-US=hygiene	en-US=hygiene
en-US=hypothesis	en-US=hypothesis
en-US=iceberg	en-US=iceberg
en-US=idea	en-US=idea
en-US=identify	en-US=identify
en-US=ideology	en-US=ideology
en-US=illiterate	en-US=illiterate
en-US=imaginary	en-US=imaginary
en-US=impact	en-US=impact
en-US=important	en-US=important
en-US=improve	en-US=improve
en-US=incessant	en-US=incessant
en-US=incident	en-US=incident
en-US=income	en-US=income
en-US=incorporate	en-US=incorporate
en-US=incubus	en-US=incubus
en-US=independent	en-US=independent
en-US=index	en-US=index
en-US=indicator	en-US=indicator
en-US=indium	en-US=indium
en-US=indoor	en-US=indoor
en-US=indoors	en-US=indoors
en-US=infant	en-US=infant
en-US=infantry	en-US=infantry
en-US=inferno	en-US=inferno
en-US=infinite	en-US=infinite
en-US=infrastructure	en-US=infrastructure
en-US=inhibit	en-US=inhibit
en-US=injustice	en-US=injustice
en-US=inmate	en-US=inmate
en-US=innovate	en-US=innovate
en-US=input	en-US=input
en-US=insecticide	en-US=insecticide
en-US=insider	en-US=insider
en-US=insist	en-US=insist
en-US=insomnia	en-US=insomnia
en-US=install	en-US=install
en-US=instinct	en-US=instinct
en-US=institute	en-US=institute
en-US=instructor	en-US=instructor
en-US=insufficient	en-US=insufficient
en-US=insulin	en-US=insulin
en-US=insurance	en-US=insurance
en-US=intelligent	en-US=intelligent
en-US=interferon	en-US=interferon
en-US=intermediate	en-US=intermediate
en-US=intern	en-US=intern
en-US=intervene	en-US=intervene
en-US=interview	en-US=interview
en-US=intolerance	en-US=intolerance
en-US=introduce	en-US=introduce
en-US=intrude	en-US=intrude
en-US=inventory	en-US=inventory
en-US=invest	en-US=invest
en-US=investigator	en-US=investigator
en-US=investor	en-US=investor
en-US=invisible	en-US=invisible
en-US=irony	en-US=irony
en-US=irreversible	en-US=irreversible
en-US=itinerary	en-US=itinerary
en-US=jade	en-US=jade
en-US=jail	en-US=jail
en-US=jealousy	en-US=jealousy
en-US=jeep	en-US=jeep
